oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,action_code,Check,action_code,B33,action_code,B66,action_code,B130,action_code,AI,flop
7.43926,0.49186,8.46034,0.50814,0.9166515689,1.00906802,X,0.71214,R5.45,0.28275,R10.9,0.00511,R21.45,0,RAI,0,6h3h2h
8.15037,0.49891,7.74948,0.50109,0.9900819524,0.9372876128,X,0.75954,R5.45,0.21934,R10.9,0.02112,R21.45,0,RAI,0,6d3h2h
8.11494,0.49767,7.78493,0.50233,0.988234235,0.9392509873,X,0.73761,R5.45,0.20421,R10.9,0.05818,R21.45,0,RAI,0,6h3h2d
8.13737,0.49814,7.76272,0.50186,0.9900307922,0.9374484203,X,0.74916,R5.45,0.20738,R10.9,0.04346,R21.45,0,RAI,0,6h3d2h
8.20557,0.49643,7.69441,0.50357,1.001767171,0.9260437493,X,0.59074,R5.45,0.00911,R10.9,0.40015,R21.45,0,RAI,0,6h3d2c
5.89888,0.4683,10.0011,0.5317,0.7634163311,1.139977462,X,0.24807,R5.45,0.04411,R10.9,0.70782,R21.45,0,RAI,0,6h3h3d
5.38534,0.46438,10.5147,0.53562,0.7028387488,1.189755797,X,0.23833,R5.45,0.06948,R10.9,0.69219,R21.45,0,RAI,0,6h3d3c
7.35686,0.49044,8.54319,0.50956,0.909123038,1.016110178,X,0.69509,R5.45,0.2998,R10.9,0.00511,R21.45,0,RAI,0,6h4h2h
7.9379,0.49727,7.9619,0.50273,0.9674520161,0.9598380774,X,0.64176,R5.45,0.01713,R10.9,0.34111,R21.45,0,RAI,0,6d4h2h
7.87579,0.49606,8.02417,0.50394,0.9622235214,0.965022308,X,0.59782,R5.45,0.01048,R10.9,0.3917,R21.45,0,RAI,0,6h4h2d
7.91251,0.49656,7.98769,0.50344,0.9657363633,0.9615890691,X,0.62657,R5.45,0.01563,R10.9,0.35704,R21.45,0.00076,RAI,0,6h4d2h
7.85699,0.49451,8.0434,0.50549,0.9629354482,0.964368774,X,0.50779,R5.45,0.00697,R10.9,0.48523,R21.45,0,RAI,0,6h4d2c
7.42332,0.49376,8.47657,0.50624,0.9111677334,1.014798342,X,0.69091,R5.45,0.30347,R10.9,0.00562,R21.45,0,RAI,0,6h4h3h
8.21285,0.50311,7.68725,0.49689,0.9893432251,0.9376198752,X,0.74483,R5.45,0.08327,R10.9,0.17189,R21.45,0,RAI,0,6d4h3h
8.18722,0.5025,7.71271,0.4975,0.9874529967,0.9395717822,X,0.71533,R5.45,0.02074,R10.9,0.26383,R21.45,0.0001,RAI,0,6h4h3d
