oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,AI,flop
25.5801,0.54604,9.07437,0.45396,1.3289817,0.7543155124,F,0.1683,C,0.70263,R24.15,0.12691,R32.95,0.00216,R45.25,0,RAI,0,5d5c4h
26.188,0.55217,8.46076,0.44783,1.345460896,0.7129356512,F,0.15062,C,0.7405,R24.15,0.10879,R32.95,0.00009,R45.25,0,RAI,0,5h5d5c
24.7554,0.54814,9.89794,0.45186,1.281204527,0.8265992764,F,0.17376,C,0.73207,R24.15,0.09406,R32.95,0.00011,R45.25,0,RAI,0,6h2h2d
25.8982,0.55242,8.74812,0.44758,1.329965559,0.7375614199,F,0.13804,C,0.72303,R24.15,0.13755,R32.95,0.00138,R45.25,0,RAI,0,6h2d2c
24.2381,0.51805,10.4117,0.48195,1.327296972,0.8152211815,F,0.25683,C,0.74316,R24.15,0.00001,R32.95,0,R45.25,0,RAI,0,6h3h2h
23.9662,0.53819,10.6865,0.46181,1.263291866,0.8732268633,F,0.1813,C,0.75559,R24.15,0.06289,R32.95,0.00022,R45.25,0,RAI,0,6d3h2h
24.0546,0.53822,10.5968,0.46178,1.267882031,0.8659534525,F,0.17989,C,0.75218,R24.15,0.06739,R32.95,0.00054,R45.25,0,RAI,0,6h3h2d
24.0423,0.53825,10.6072,0.46175,1.267162461,0.8668580076,F,0.17986,C,0.7532,R24.15,0.06644,R32.95,0.00049,R45.25,0,RAI,0,6h3d2h
25.0563,0.54659,9.59548,0.45341,1.300455964,0.7986007894,F,0.13874,C,0.7528,R24.15,0.07061,R32.95,0.03785,R45.25,0,RAI,0,6h3d2c
24.642,0.54664,10.0043,0.45336,1.27883873,0.8327165399,F,0.17814,C,0.72983,R24.15,0.08901,R32.95,0.00278,R45.25,0.00023,RAI,0.00001,6h3h3d
25.7071,0.55151,8.94264,0.44849,1.322329703,0.7524317808,F,0.14025,C,0.72732,R24.15,0.12971,R32.95,0.00272,R45.25,0,RAI,0,6h3d3c
24.0708,0.52112,10.5787,0.47888,1.310370726,0.8336023283,F,0.25691,C,0.74309,R24.15,0,R32.95,0,R45.25,0,RAI,0,6h4h2h
24.421,0.53909,10.2261,0.46091,1.285120254,0.8372338537,F,0.17983,C,0.71552,R24.15,0.1042,R32.95,0.00045,R45.25,0,RAI,0,6d4h2h
24.5821,0.53885,10.068,0.46115,1.294174503,0.8238615945,F,0.1795,C,0.71259,R24.15,0.10583,R32.95,0.00183,R45.25,0.00012,RAI,0.00013,6h4h2d
24.3991,0.53876,10.252,0.46124,1.284750559,0.8387554518,F,0.17684,C,0.72149,R24.15,0.1013,R32.95,0.00036,R45.25,0,RAI,0,6h4d2h
25.4882,0.54868,9.1616,0.45132,1.317836641,0.76602137,F,0.13906,C,0.71785,R24.15,0.10152,R32.95,0.04151,R45.25,0.00006,RAI,0,6h4d2c
24.0867,0.5232,10.5643,0.4768,1.30602081,0.8361031261,F,0.25835,C,0.74162,R24.15,0.00002,R32.95,0,R45.25,0,RAI,0,6h4h3h
23.8779,0.53581,10.7736,0.46419,1.264231376,0.8758279236,F,0.17839,C,0.73275,R24.15,0.07369,R32.95,0.00332,R45.25,0.00041,RAI,0.01142,6d4h3h
23.9881,0.53572,10.6632,0.46428,1.270277184,0.8666858618,F,0.17823,C,0.72875,R24.15,0.07587,R32.95,0.00285,R45.25,0.00071,RAI,0.01358,6h4h3d
23.8198,0.53537,10.8303,0.46463,1.262192758,0.879601877,F,0.17615,C,0.73615,R24.15,0.06984,R32.95,0.00125,R45.25,0.00021,RAI,0.01639,6h4d3h
24.6074,0.54458,10.0403,0.45542,1.281871261,0.8319370716,F,0.14448,C,0.71845,R24.15,0.12332,R32.95,0.01372,R45.25,0.00003,RAI,0,6h4d3c
24.0265,0.54423,10.624,0.45577,1.252417944,0.8796194265,F,0.17947,C,0.75074,R24.15,0.0695,R32.95,0.00029,R45.25,0.00001,RAI,0,6h4h4d
24.9039,0.54665,9.74785,0.45335,1.292407879,0.8113894472,F,0.14898,C,0.7384,R24.15,0.11221,R32.95,0.00041,R45.25,0,RAI,0,6h4d4c
24.0405,0.521,10.612,0.479,1.309018898,0.8360192189,F,0.25911,C,0.74088,R24.15,0.00001,R32.95,0,R45.25,0,RAI,0,6h5h2h
24.0522,0.53685,10.5938,0.46315,1.270992821,0.8631418668,F,0.18092,C,0.72423,R24.15,0.0927,R32.95,0.00194,R45.25,0.00005,RAI,0.00016,6h5d2h
24.1747,0.5365,10.4759,0.4635,1.278296326,0.8528929017,F,0.18453,C,0.71729,R24.15,0.08717,R32.95,0.00806,R45.25,0.00135,RAI,0.0016,6h5h2d
24.1524,0.53737,10.4951,0.46263,1.27505147,0.8560693825,F,0.18389,C,0.71633,R24.15,0.09559,R32.95,0.0034,R45.25,0.00037,RAI,0.00042,6d5h2h
24.9599,0.54604,9.69377,0.45396,1.29675798,0.8058037178,F,0.14501,C,0.71511,R24.15,0.108,R32.95,0.03186,R45.25,0.00002,RAI,0,6h5d2c
24.003,0.52283,10.6489,0.47717,1.30240723,0.8421428258,F,0.26018,C,0.73979,R24.15,0.00002,R32.95,0,R45.25,0,RAI,0,6h5h3h
23.7037,0.53353,10.9461,0.46647,1.260371928,0.8855009491,F,0.18285,C,0.72744,R24.15,0.07276,R32.95,0.00746,R45.25,0.00102,RAI,0.00848,6h5h3d
23.6012,0.53362,11.0478,0.46638,1.254705942,0.8939046081,F,0.17975,C,0.73368,R24.15,0.07001,R32.95,0.00352,R45.25,0.00027,RAI,0.01277,6h5d3h
23.722,0.53426,10.929,0.46574,1.259620999,0.8855025963,F,0.18205,C,0.72804,R24.15,0.07644,R32.95,0.00711,R45.25,0.00084,RAI,0.00552,6d5h3h
24.2846,0.54248,10.3662,0.45752,1.269954308,0.8549942573,F,0.14639,C,0.72545,R24.15,0.1108,R32.95,0.01731,R45.25,0.00006,RAI,0,6h5d3c
