oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,R150,actions/5/action_code,AI,flop
1.56569,0.48184,7.13068,0.51816,0.5907996595,1.503993594,F,0.45064,C,0.39648,R10.05,0.14915,R16.45,0.00373,RAI,0,6d4h2h,,
1.56118,0.48252,7.13551,0.51748,0.5882676366,1.506989896,F,0.45297,C,0.37936,R10.05,0.1634,R16.45,0.00421,RAI,0.00006,6h4h2d,,
1.55211,0.4812,7.14433,0.5188,0.5864542907,1.505013618,F,0.45247,C,0.38122,R10.05,0.16261,R16.45,0.00357,RAI,0.00014,6h4d2h,,
1.60782,0.48546,7.07859,0.51454,0.6021730057,1.503510629,F,0.42565,C,0.44923,R10.05,0.10849,R16.45,0.01664,RAI,0,6h4d2c,,
1.70435,0.48099,6.99299,0.51901,0.6442583463,1.472536547,F,0.46631,C,0.49237,R10.05,0.03758,R16.45,0.00308,RAI,0.00066,6h4h3h,,
1.5762,0.48737,7.12169,0.51263,0.5880169304,1.518301261,F,0.45243,C,0.40458,R10.05,0.14211,R16.45,0.00088,RAI,0,6d4h3h,,
1.57314,0.48841,7.12472,0.51159,0.5856257272,1.522035083,F,0.45382,C,0.39306,R10.05,0.15246,R16.45,0.00065,RAI,0,6h4h3d,,
1.57263,0.48794,7.12563,0.51206,0.5859997707,1.520832298,F,0.45383,C,0.3937,R10.05,0.152,R16.45,0.00046,RAI,0,6h4d3h,,
1.62296,0.49673,7.07035,0.50327,0.5940523651,1.535390369,F,0.44235,C,0.43215,R10.05,0.12349,R16.45,0.00201,RAI,0,6h4d3c,,
1.58564,0.47901,7.11601,0.52099,0.6018625537,1.492746522,F,0.46917,C,0.39185,R10.05,0.13895,R16.45,0.00003,RAI,0,6h4h4d,,
1.58363,0.48432,7.11783,0.51568,0.5945092342,1.50850309,F,0.46821,C,0.38802,R10.05,0.14228,R16.45,0.00148,RAI,0,6h4d4c,,
1.62705,0.47676,7.07251,0.52324,0.6204951766,1.477241669,F,0.46215,C,0.50201,R10.05,0.03267,R16.45,0.00258,RAI,0.00059,6h5h2h,,
1.53333,0.48304,7.16058,0.51696,0.5771515056,1.513805766,F,0.44391,C,0.39613,R10.05,0.15297,R16.45,0.00685,RAI,0.00013,6h5d2h,,
1.53395,0.48292,7.1597,0.51708,0.577528369,1.513268453,F,0.44296,C,0.40055,R10.05,0.14703,R16.45,0.00947,RAI,0,6h5h2d,,
1.54454,0.48361,7.14901,0.51639,0.5806858021,1.51302804,F,0.44224,C,0.40746,R10.05,0.14476,R16.45,0.00554,RAI,0.00001,6d5h2h,,
1.59294,0.48766,7.09211,0.51234,0.5939085738,1.512850826,F,0.42014,C,0.45567,R10.05,0.09263,R16.45,0.03156,RAI,0,6h5d2c,,
1.69686,0.48278,7.00479,0.51722,0.6390488129,1.480126002,F,0.46275,C,0.49278,R10.05,0.04224,R16.45,0.00209,RAI,0.00015,6h5h3h,,
1.60191,0.4882,7.09452,0.5118,0.596592293,1.514961705,F,0.44987,C,0.37582,R10.05,0.16561,R16.45,0.0087,RAI,0.00001,6h5h3d,,
1.60147,0.48826,7.09392,0.51174,0.5963551426,1.515011109,F,0.44857,C,0.38076,R10.05,0.16544,R16.45,0.00512,RAI,0.00012,6h5d3h,,
1.60039,0.48813,7.09596,0.51187,0.5961116718,1.515061889,F,0.44896,C,0.38456,R10.05,0.16359,R16.45,0.00289,RAI,0,6d5h3h,,
1.67749,0.49673,7.01566,0.50327,0.6140120009,1.523513863,F,0.44213,C,0.39816,R10.05,0.13838,R16.45,0.02133,RAI,0,6h5d3c,,
1.65781,0.48043,7.04002,0.51957,0.6273962714,1.480842046,F,0.45809,C,0.49869,R10.05,0.04319,R16.45,0.00003,RAI,0,6h5h4h,,
1.55724,0.48352,7.13908,0.51648,0.5855694624,1.510663113,F,0.45202,C,0.39996,R10.05,0.14452,R16.45,0.00349,RAI,0,6d5h4h,,
1.55472,0.48395,7.14197,0.51605,0.5841024445,1.512534086,F,0.45259,C,0.39613,R10.05,0.14775,R16.45,0.00352,RAI,0,6h5h4d,,
1.55429,0.48418,7.14203,0.51582,0.583663493,1.513221009,F,0.45129,C,0.39831,R10.05,0.14762,R16.45,0.00278,RAI,0,6h5d4h,,
1.54458,0.48331,7.14553,0.51669,0.5810612567,1.511413499,F,0.43344,C,0.45292,R10.05,0.10843,R16.45,0.00521,RAI,0,6h5d4c,,
1.58664,0.48231,7.11536,0.51769,0.5981215438,1.502124717,F,0.46383,C,0.41077,R10.05,0.12538,R16.45,0.00002,RAI,0,6h5h5d,,
1.60454,0.49108,7.0962,0.50892,0.5940672639,1.523895625,F,0.46497,C,0.39177,R10.05,0.14326,R16.45,0,RAI,0,6h5d5c,,
1.5907,0.47621,7.11113,0.52379,0.6073332951,1.483748641,F,0.46879,C,0.3973,R10.05,0.13314,R16.45,0.00077,RAI,0,6h6d2h,,
