oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,R150,actions/5/action_code,AI,flop
1.75743,0.47116,5.08409,0.52884,0.6781830444,1.316940303,F,0.28871,C,0.61523,R6.35,0.09248,R10.9,0.00358,RAI,0,6h5h4h,,
1.73874,0.4731,5.09947,0.5269,0.6682192668,1.325787743,F,0.28185,C,0.5416,R6.35,0.17021,R10.9,0.00635,RAI,0,6d5h4h,,
1.73286,0.47284,5.10516,0.52716,0.6663256948,1.326612477,F,0.28094,C,0.53943,R6.35,0.17282,R10.9,0.0068,RAI,0,6h5h4d,,
1.73782,0.47364,5.10021,0.52636,0.6671043017,1.327340533,F,0.28042,C,0.54072,R6.35,0.17284,R10.9,0.00603,RAI,0,6h5d4h,,
1.75463,0.47402,5.07936,0.52598,0.6730172313,1.322869209,F,0.26108,C,0.581,R6.35,0.14961,R10.9,0.00831,RAI,0,6h5d4c,,
1.69679,0.46349,5.15204,0.53651,0.6656179484,1.315462744,F,0.30865,C,0.5025,R6.35,0.18404,R10.9,0.0048,RAI,0,6h5h5d,,
1.65932,0.46206,5.1873,0.53794,0.6529336925,1.320944781,F,0.30611,C,0.48769,R6.35,0.20151,R10.9,0.00469,RAI,0,6h5d5c,,
1.70367,0.45829,5.14918,0.54171,0.6758999304,1.302111996,F,0.32493,C,0.47789,R6.35,0.19253,R10.9,0.00464,RAI,0,6h6d2h,,
1.65033,0.45171,5.19817,0.54829,0.664275752,1.29872529,F,0.31439,C,0.48704,R6.35,0.1904,R10.9,0.00817,RAI,0,6d6c2h,,
1.70739,0.46021,5.14405,0.53979,0.674549748,1.305441807,F,0.32095,C,0.48289,R6.35,0.19112,R10.9,0.00505,RAI,0,6h6d3h,,
1.64234,0.45221,5.20527,0.54779,0.6603287338,1.301686178,F,0.31027,C,0.49322,R6.35,0.18975,R10.9,0.00675,RAI,0,6d6c3h,,
1.69465,0.46032,5.15636,0.53968,0.6693565224,1.308832456,F,0.31915,C,0.4854,R6.35,0.18967,R10.9,0.00577,RAI,0,6h6d4h,,
1.62685,0.45332,5.2214,0.54668,0.6524991462,1.308371038,F,0.31329,C,0.48489,R6.35,0.19539,R10.9,0.00643,RAI,0,6d6c4h,,
