oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,AI,flop
25.3275,0.55045,9.32105,0.44955,1.305312834,0.7824218039,F,0.13141,C,0.71048,R24.15,0.11139,R32.95,0.04672,RAI,0,6h3d3c
23.1946,0.5184,11.4567,0.4816,1.269297187,0.897695593,F,0.25154,C,0.74562,R24.15,0.00274,R32.95,0.00011,RAI,0,6h4h2h
24.111,0.5407,10.5384,0.4593,1.265027778,0.8658286316,F,0.1826,C,0.69569,R24.15,0.1129,R32.95,0.00877,RAI,0.00004,6d4h2h
24.2016,0.54098,10.449,0.45902,1.269123694,0.8590105564,F,0.1811,C,0.69369,R24.15,0.1045,R32.95,0.02068,RAI,0.00003,6h4h2d
24.1313,0.54063,10.5199,0.45937,1.266257965,0.8641745655,F,0.18132,C,0.69366,R24.15,0.11309,R32.95,0.01191,RAI,0.00002,6h4d2h
25.0466,0.5484,9.60384,0.4516,1.295664505,0.8025001408,F,0.14268,C,0.70076,R24.15,0.05175,R32.95,0.10481,RAI,0,6h4d2c
23.2872,0.51957,11.3678,0.48043,1.271492769,0.8928974485,F,0.25582,C,0.7365,R24.15,0.00725,R32.95,0.00044,RAI,0,6h4h3h
23.783,0.53795,10.8674,0.46205,1.254197657,0.8875483089,F,0.18235,C,0.6925,R24.15,0.1169,R32.95,0.00761,RAI,0.00064,6d4h3h
23.8531,0.53798,10.7965,0.46202,1.257825187,0.881812678,F,0.18223,C,0.6868,R24.15,0.11759,R32.95,0.01109,RAI,0.0023,6h4h3d
23.8067,0.53771,10.843,0.46229,1.256006686,0.8850901493,F,0.18266,C,0.68624,R24.15,0.12157,R32.95,0.00813,RAI,0.0014,6h4d3h
24.6082,0.54575,10.0417,0.45425,1.279163595,0.8341894796,F,0.15072,C,0.69516,R24.15,0.06394,R32.95,0.09018,RAI,0,6h4d3c
23.7647,0.54393,10.8855,0.45607,1.239453905,0.9006793302,F,0.17399,C,0.73472,R24.15,0.08796,R32.95,0.00333,RAI,0,6h4h4d
24.6399,0.54713,10.0082,0.45287,1.277586099,0.8339391704,F,0.14491,C,0.70712,R24.15,0.10616,R32.95,0.04181,RAI,0,6h4d4c
23.1218,0.51946,11.5313,0.48054,1.26273184,0.9055307987,F,0.25401,C,0.73921,R24.15,0.00646,R32.95,0.00032,RAI,0,6h5h2h
23.8405,0.5416,10.808,0.4584,1.248758102,0.8897222343,F,0.18755,C,0.6905,R24.15,0.11286,R32.95,0.00903,RAI,0.00005,6h5d2h
23.9012,0.54171,10.748,0.45829,1.251681728,0.8849994832,F,0.18862,C,0.68951,R24.15,0.10477,R32.95,0.01706,RAI,0.00004,6h5h2d
23.8197,0.54144,10.8316,0.45856,1.248035673,0.8913538967,F,0.18807,C,0.69142,R24.15,0.10944,R32.95,0.01097,RAI,0.00011,6d5h2h
24.6602,0.54789,9.99173,0.45211,1.276864465,0.8339705191,F,0.15509,C,0.68628,R24.15,0.05786,R32.95,0.10077,RAI,0,6h5d2c
23.1276,0.52031,11.5246,0.47969,1.260980439,0.9066067343,F,0.25775,C,0.73186,R24.15,0.01015,R32.95,0.00024,RAI,0,6h5h3h
23.6168,0.53858,11.0335,0.46142,1.243976783,0.9023416416,F,0.18787,C,0.68719,R24.15,0.10543,R32.95,0.01801,RAI,0.0015,6h5h3d
23.5757,0.53856,11.0744,0.46144,1.241857509,0.9056432391,F,0.18629,C,0.6862,R24.15,0.11674,R32.95,0.00951,RAI,0.00125,6h5d3h
23.5489,0.53861,11.1006,0.46139,1.240328523,0.9078915819,F,0.18529,C,0.69227,R24.15,0.11013,R32.95,0.01106,RAI,0.00126,6d5h3h
24.2995,0.54561,10.3496,0.45439,1.26344623,0.8595052412,F,0.15722,C,0.69553,R24.15,0.04651,R32.95,0.10075,RAI,0,6h5d3c
23.3031,0.51778,11.3402,0.48222,1.276758458,0.8874193128,F,0.26066,C,0.71145,R24.15,0.02473,R32.95,0.00316,RAI,0,6h5h4h
