oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
8.18483,0.42817,23.8149,0.57183,0.780238423,1.27751091,F,0.44558,C,0.31968,R22.35,0.16878,R30.5,0.05271,R41.9,0.00009,R56.95,0.00088,RAI,0.01228,6h5d2h
8.24356,0.42699,23.7546,0.57301,0.7880086845,1.271653063,F,0.4429,C,0.32801,R22.35,0.15808,R30.5,0.0602,R41.9,0.00054,R56.95,0.00149,RAI,0.00878,6h5h2d
8.21169,0.42585,23.7875,0.57415,0.7870635557,1.270884238,F,0.44916,C,0.3169,R22.35,0.14988,R30.5,0.07292,R41.9,0.00036,R56.95,0.00169,RAI,0.00908,6d5h2h
9.07699,0.44271,22.925,0.55729,0.8368669846,1.261858573,F,0.39107,C,0.35084,R22.35,0.15158,R30.5,0.1065,R41.9,0,R56.95,0,RAI,0,6h5d2c
7.97889,0.46455,24.0202,0.53545,0.7010418368,1.376067522,F,0.38143,C,0.54862,R22.35,0.06885,R30.5,0.0011,R41.9,0,R56.95,0,RAI,0,6h5h3h
8.13311,0.4299,23.8657,0.5701,0.7721881429,1.284119747,F,0.43447,C,0.34023,R22.35,0.18531,R30.5,0.01173,R41.9,0.00046,R56.95,0.00986,RAI,0.01794,6h5h3d
8.0173,0.42982,23.9832,0.57018,0.7613343252,1.290262586,F,0.43945,C,0.32995,R22.35,0.19591,R30.5,0.00989,R41.9,0.00058,R56.95,0.00476,RAI,0.01947,6h5d3h
8.11222,0.42915,23.8889,0.57085,0.7715507958,1.283680872,F,0.43775,C,0.33379,R22.35,0.18747,R30.5,0.01407,R41.9,0.00046,R56.95,0.00722,RAI,0.01923,6d5h3h
8.83828,0.44143,23.1605,0.55857,0.8172215508,1.271901926,F,0.39703,C,0.33267,R22.35,0.2208,R30.5,0.0495,R41.9,0,R56.95,0,RAI,0,6h5d3c
7.98583,0.46561,24.0164,0.53439,0.7000542078,1.378582372,F,0.35985,C,0.61655,R22.35,0.02184,R30.5,0.0017,R41.9,0.00006,R56.95,0,RAI,0,6h5h4h
7.55851,0.4283,24.4419,0.5717,0.7203142891,1.311442316,F,0.48295,C,0.27651,R22.35,0.23707,R30.5,0.00346,R41.9,0,R56.95,0,RAI,0,6d5h4h
7.5824,0.42909,24.4185,0.57091,0.7212606046,1.31199979,F,0.48249,C,0.27772,R22.35,0.23673,R30.5,0.00306,R41.9,0,R56.95,0,RAI,0,6h5h4d
7.60215,0.42826,24.4001,0.57174,0.7245407843,1.30910847,F,0.48459,C,0.27478,R22.35,0.23673,R30.5,0.0039,R41.9,0,R56.95,0,RAI,0,6h5d4h
8.49416,0.44222,23.5071,0.55778,0.7839998054,1.292759506,F,0.4313,C,0.28762,R22.35,0.26942,R30.5,0.01165,R41.9,0,R56.95,0,RAI,0,6h5d4c
7.55874,0.41093,24.4421,0.58907,0.7507848049,1.272780846,F,0.50083,C,0.22673,R22.35,0.25039,R30.5,0.02202,R41.9,0,R56.95,0,RAI,0.00002,6h5h5d
8.46341,0.42676,23.5404,0.57324,0.8094604255,1.259680246,F,0.46718,C,0.22458,R22.35,0.27682,R30.5,0.03141,R41.9,0,R56.95,0,RAI,0,6h5d5c
7.69332,0.40524,24.3049,0.59476,0.7748816837,1.253528755,F,0.53015,C,0.1752,R22.35,0.27255,R30.5,0.01721,R41.9,0.00021,R56.95,0.00001,RAI,0.00467,6h6d2h
8.83885,0.43049,23.1566,0.56951,0.8380436233,1.247257798,F,0.49634,C,0.12352,R22.35,0.37317,R30.5,0.00698,R41.9,0,R56.95,0,RAI,0,6d6c2h
7.65566,0.40664,24.3458,0.59336,0.7684338231,1.258601329,F,0.52338,C,0.18768,R22.35,0.24921,R30.5,0.02847,R41.9,0.00265,R56.95,0.00006,RAI,0.00855,6h6d3h
8.71584,0.42645,23.2829,0.57355,0.8342093411,1.2452287,F,0.50278,C,0.11947,R22.35,0.3661,R30.5,0.01165,R41.9,0,R56.95,0,RAI,0,6d6c3h
8.02195,0.40556,23.9798,0.59444,0.8073442444,1.237426498,F,0.53231,C,0.16649,R22.35,0.26876,R30.5,0.03088,R41.9,0.00009,R56.95,0.00007,RAI,0.00141,6h6d4h
9.02492,0.42866,22.9806,0.57134,0.8593386273,1.233815035,F,0.48574,C,0.1718,R22.35,0.31822,R30.5,0.02424,R41.9,0,R56.95,0,RAI,0,6d6c4h
