oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,R120,actions/6/action_code,AI,flop
4.96093,0.45071,21.8393,0.54929,0.6670861914,1.451066304,F,0.46481,C,0.32466,R24.3,0.21033,R31.95,0.0002,R42.7,0,R56.85,0,RAI,0,5d5c3h
5.46787,0.45284,21.3322,0.54716,0.7317950592,1.422889349,F,0.43618,C,0.42483,R24.3,0.1262,R31.95,0.00005,R42.7,0,R56.85,0,RAI,0.01273,5h5d4h
4.912,0.45013,21.888,0.54987,0.6613578076,1.452764014,F,0.46649,C,0.31085,R24.3,0.22266,R31.95,0,R42.7,0,R56.85,0,RAI,0,5d5c4h
2.82693,0.43836,23.9716,0.56164,0.3908410701,1.557713834,F,0.58784,C,0.14721,R24.3,0.26495,R31.95,0,R42.7,0,R56.85,0,RAI,0,5h5d5c
4.36603,0.45486,22.4345,0.54514,0.5817347994,1.501958522,F,0.46157,C,0.40733,R24.3,0.08847,R31.95,0.00242,R42.7,0,R56.85,0.00001,RAI,0.0402,6h2h2d
3.69652,0.45176,23.1043,0.54824,0.4959082778,1.538052506,F,0.48579,C,0.29144,R24.3,0.13277,R31.95,0.08999,R42.7,0,R56.85,0,RAI,0,6h2d2c
5.25868,0.47829,21.4922,0.52171,0.6663486092,1.503490749,F,0.50077,C,0.40861,R24.3,0.06636,R31.95,0.00598,R42.7,0.00628,R56.85,0.00647,RAI,0.00554,6h3h2h
6.15013,0.46056,20.6479,0.53944,0.809308546,1.396957627,F,0.43783,C,0.42212,R24.3,0.13239,R31.95,0,R42.7,0,R56.85,0,RAI,0.00765,6d3h2h
6.11961,0.45993,20.6806,0.54007,0.8063954129,1.397535164,F,0.43161,C,0.43871,R24.3,0.12968,R31.95,0,R42.7,0,R56.85,0,RAI,0,6h3h2d
6.1211,0.45998,20.6788,0.54002,0.8065040776,1.397544185,F,0.43299,C,0.43575,R24.3,0.13126,R31.95,0,R42.7,0,R56.85,0,RAI,0,6h3d2h
6.32615,0.46377,20.4748,0.53623,0.826709414,1.393535311,F,0.40165,C,0.48414,R24.3,0.11402,R31.95,0.00019,R42.7,0,R56.85,0,RAI,0,6h3d2c
4.6813,0.45602,22.1185,0.54398,0.6221550873,1.483959912,F,0.45111,C,0.4244,R24.3,0.08839,R31.95,0.00448,R42.7,0,R56.85,0.00006,RAI,0.03156,6h3h3d
4.08857,0.45269,22.7118,0.54731,0.5473770692,1.51449417,F,0.45981,C,0.33791,R24.3,0.12952,R31.95,0.07276,R42.7,0,R56.85,0,RAI,0,6h3d3c
,,,,,,F,0.4985,C,0.39418,R24.3,0.09325,R31.95,0.00501,R42.7,0.00275,R56.85,0.00342,RAI,0.00289,6h4h2h
5.6362,0.4595,21.1632,0.5405,0.7433903479,1.429010718,F,0.41399,C,0.46949,R24.3,0.09456,R31.95,0,R42.7,0,R56.85,0.00001,RAI,0.02195,6d4h2h
5.59754,0.45922,21.2024,0.54078,0.7387414492,1.43091835,F,0.40677,C,0.48541,R24.3,0.08895,R31.95,0.00002,R42.7,0,R56.85,0,RAI,0.01885,6h4h2d
5.62963,0.45934,21.1703,0.54066,0.7427824657,1.429068355,F,0.41238,C,0.47391,R24.3,0.09003,R31.95,0,R42.7,0,R56.85,0,RAI,0.02368,6h4d2h
5.49943,0.46014,21.3006,0.53986,0.72434217,1.439995476,F,0.38283,C,0.49884,R24.3,0.1163,R31.95,0.00203,R42.7,0,R56.85,0,RAI,0,6h4d2c
5.00332,0.4784,21.7133,0.5216,0.6338451785,1.519279559,F,0.49188,C,0.41629,R24.3,0.06768,R31.95,0.00674,R42.7,0.00661,R56.85,0.00607,RAI,0.00473,6h4h3h
5.70272,0.45511,21.0974,0.54489,0.7594194672,1.413086465,F,0.40153,C,0.52249,R24.3,0.0353,R31.95,0,R42.7,0.00016,R56.85,0.00112,RAI,0.03941,6d4h3h
5.65262,0.45492,21.1477,0.54508,0.7530621321,1.415965095,F,0.39898,C,0.52792,R24.3,0.0345,R31.95,0,R42.7,0.00049,R56.85,0.00106,RAI,0.03704,6h4h3d
5.70127,0.45537,21.0982,0.54463,0.7587928819,1.413813959,F,0.40108,C,0.52115,R24.3,0.03925,R31.95,0,R42.7,0.00076,R56.85,0.00118,RAI,0.03659,6h4d3h
5.7432,0.45937,21.0568,0.54063,0.7577175835,1.421483094,F,0.37042,C,0.54597,R24.3,0.05463,R31.95,0,R42.7,0,R56.85,0,RAI,0.02897,6h4d3c
5.26284,0.45677,21.5361,0.54323,0.6982945148,1.446884154,F,0.44594,C,0.41959,R24.3,0.12768,R31.95,0.00056,R42.7,0,R56.85,0,RAI,0.00623,6h4h4d
4.89647,0.45546,21.9032,0.54454,0.6515517367,1.468003335,F,0.44444,C,0.37112,R24.3,0.1822,R31.95,0.00224,R42.7,0,R56.85,0,RAI,0,6h4d4c
5.06113,0.47604,21.7522,0.52396,0.6443474302,1.515148776,F,0.49768,C,0.39962,R24.3,0.07557,R31.95,0.00683,R42.7,0.00696,R56.85,0.0078,RAI,0.00554,6h5h2h
5.95061,0.46204,20.8501,0.53796,0.7805450491,1.414512393,F,0.41633,C,0.45672,R24.3,0.10965,R31.95,0,R42.7,0,R56.85,0,RAI,0.0173,6h5d2h
